HSMID	X	Y	OBLIKA IJS	TIP PRIKLJUČKA	ID VS	UPRAVLJANJE
11615856	167240	577065	JAV	1	1633	1
16391026	167193	577139	JAV	1	1633	1
11615864	167259	577123	NEZ		99	0
11615872	167247	577027	JAV	2	1633	1
11615929	167282	576970	JAV	1	1633	1
11615899	167285	577015	DRUG	1	99	0
11615902	167283	576946	JAV	1	1633	1
11615937	167120	576650	NEZ		99	0
11615945	167023	576580	JAV	1	1633	1
11615953	167060	576536	DRUG	1	99	0
11616038	166897	576017	JAV	1	1633	1
11616160	166493	575315	NEZ		99	0
11616178	166485	575345	JAV	2	1633	1
11616186	166551	575332	JAV	1	1633	1
11616194	166784	575330	JAV	1	1633	1
11616208	166886	575394	JAV	1	1633	1
11616216	166982	575368	JAV	1	1633	1
19126439	166931	575274	JAV	1	1633	1
11616224	166999	575405	JAV	1	1633	1
19124754	167044	575448	JAV	1	1633	1
19124703	167069	575467	JAV	1	1633	1
11616232	166973	575419	JAV	1	1633	1
11616259	167046	575492	JAV	1	1633	1
11616267	167043	575547	JAV	1	1633	1
11616054	166786	575985	NEZ		99	0
11616275	167077	575519	JAV	1	1633	1
11616283	167295	575587	JAV	1	1633	1
11616291	167423	575616	JAV	1	1633	1
19139212	167457	575639	JAV	1	1633	1
11616305	167484	575669	JAV	1	1633	1
11616313	167505	575679	JAV	1	1633	1
11616321	167561	575729	JAV	1	1633	1
11616330	167577	575622	JAV	1	1633	1
11616348	167437	575851	JAV	2	1633	1
19128849	167641	575814	JAV	1	1633	1
19135080	167587	575795	JAV	1	1633	1
11616364	167296	575894	JAV	1	1633	1
11616046	166823	576016	JAV	1	1633	1
11616062	166858	575933	JAV	1	1633	1
19120040	167358	576026	DRUG	1	99	0
11616399	167583	575854	JAV	1	1633	1
11616402	167602	575891	JAV	1	1633	1
11616429	167582	575997	NEZ		99	0
11616437	167579	576014	JAV	1	1633	1
11616445	167582	576035	JAV	1	1633	1
19135616	167585	576058	JAV	1	1633	1
11616453	167616	576125	JAV	1	1633	1
11616470	167464	576251	JAV	1	1633	1
11616089	167010	575725	DRUG	1	99	0
11616488	167473	576306	JAV	1	1633	1
19135900	167489	576307	NEZ		99	0
11616496	167424	576333	JAV	1	1633	1
