FID;ENOTA;HS_MID;HS;HD;LABELA;UL_MID;NA_MID;OB_MID;PT_MID;PO_MID;D_OD;DV_OD;STATUS;Y_C;X_C
1911;HS;11613535;20; ;20;16276014;10093155;11026826;21429392;10638950;01.01.1995;01.01.1995;V;575844;169842
1912;HS;11613551;22; ;22;16276014;10093155;11026826;21429392;10638950;01.01.1995;01.01.1995;V;575817;169874
1913;HS;11613560;23; ;23;16276014;10093155;11026826;21429392;10638950;01.01.1995;01.01.1995;V;575792;169884
1914;HS;11613578;24; ;24;16276014;10093155;11026826;21429392;10638950;01.01.1995;01.01.1995;V;575819;170039
1915;HS;11613586;25; ;25;16276014;10093155;11026826;21429392;10638950;01.01.1995;01.01.1995;V;575775;170059
1916;HS;11613608;27; ;27;16276014;10093155;11026826;21429392;10638950;01.01.1995;01.01.1995;V;575723;169968
1917;HS;11613616;28; ;28;16276014;10093155;11026826;21429392;10638950;01.01.1995;01.01.1995;V;575714;169889
1918;HS;11613659;31; ;31;16276014;10093155;11026826;21429392;10638950;01.01.1995;01.01.1995;V;575670;169833
1919;HS;11613667;32; ;32;16276014;10093155;11026826;21429392;10638950;01.01.1995;01.01.1995;V;575640;169807
1920;HS;11613675;33; ;33;16276014;10093155;11026826;21429392;10638950;01.01.1995;01.01.1995;V;575742;169646
1921;HS;11613683;34; ;34;16276014;10093155;11026826;21429392;10638950;01.01.1995;01.01.1995;V;575407;169655
1922;HS;11613691;35; ;35;16276014;10093155;11026826;21429392;10638950;01.01.1995;01.01.1995;V;575371;169705
