FID;ENOTA;HS_MID;HS;HD;LABELA;UL_MID;NA_MID;OB_MID;PT_MID;PO_MID;D_OD;DV_OD;STATUS;Y_C;X_C
1738;HS;11613390;8; ;8;16276014;10093155;11026826;21429392;10252695;01.01.1995;01.01.1995;V;575934;169668
1739;HS;11613403;9; ;9;16276014;10093155;11026826;21429392;10252695;01.01.1995;01.01.1995;V;575904;169656
1740;HS;11613411;10; ;10;16276014;10093155;11026826;21429392;10252695;01.01.1995;01.01.1995;V;575898;169686
1741;HS;11613420;11; ;11;16276014;10093155;11026826;21429392;10252695;01.01.1995;01.01.1995;V;575925;169695
1742;HS;11613438;12; ;12;16276014;10093155;11026826;21429392;10252695;01.01.1995;01.01.1995;V;575904;169728
1743;HS;11613446;13; ;13;16276014;10093155;11026826;21429392;10252695;01.01.1995;01.01.1995;V;575865;169707
1744;HS;11613454;14; ;14;16276014;10093155;11026826;21429392;10252695;01.01.1995;01.01.1995;V;575842;169694
1745;HS;19134563;43;D;43D;16276286;10093414;11026826;21429392;10253004;27.06.2012;27.06.2012;V;572235;167592
1746;HS;11619398;39; ;39;16276120;10093252;11026826;21429392;10253039;01.01.1995;01.01.1995;V;574210;171360
1747;HS;11619401;40; ;40;16276120;10093252;11026826;21429392;10253039;01.01.1995;01.01.1995;V;574185;171356
1748;HS;11619410;41; ;41;16276120;10093252;11026826;21429392;10253039;01.01.1995;01.01.1995;V;574158;171392
1749;HS;11592228;4; ;4;16185043;10092752;11026826;21429392;10252687;01.01.1995;01.01.1995;V;575559;171086
1750;HS;11592236;5; ;5;16185043;10092752;11026826;21429392;10252628;01.01.1995;01.01.1995;V;575518;171033
1751;HS;11592244;6; ;6;16185043;10092752;11026826;21429392;10252687;01.01.1995;01.01.1995;V;575529;171087
1752;HS;11587364;1; ;1;16184756;10092752;11026826;21429392;10253233;01.01.1995;01.01.1995;V;575539;171211
1753;HS;11587402;5; ;5;16184756;10092752;11026826;21429392;10253233;01.01.1995;01.01.1995;V;575561;171277
1754;HS;11587429;7; ;7;16184756;10092752;11026826;21429392;10253233;01.01.1995;01.01.1995;V;575613;171313
