33970741;5507;6,3
33970741;5509;32,3
33970741;5508;72,3
33970741;5500;173,0
33970741;5513;23,2
29188406;5508;45,8
29188432;5505;12,6
29188432;5507;11,0
29188587;5505;34,8
29188587;5508;49,8
29188587;5509;21,6
29189712;5508;54,0
29189712;5509;19,0
29189712;5505;19,0
29188406;5507;12,1
29188406;5509;15,3
29188536;5505;18,4
29187359;5507;4,0
29187359;5508;24,0
29187359;5509;22,4
29185473;5507;6,2
29185473;5505;33,6
29185473;5509;10,0
29185473;5508;26,2
29185482;5505;17,2
29185482;5509;7,3
29187459;5509;5,9
29187459;5505;17,4
29187459;5507;11,9
29187459;5508;28,2
29187507;5508;3,8
29184527;5516;160,4
29186355;5505;29,5
29186355;5508;23,5
29186355;5509;10,0
29186709;5509;7,7
29186709;5508;34,0
29184815;5505;38,2
29184815;5508;14,8
29184815;5509;15,0
29184874;5508;20,8
29184710;5508;80,0
29202928;5508;9,5
29202934;5508;22,4
29202940;5507;4,7
29202940;5508;31,7
29202940;5509;4,0
29202940;5505;11,2
29211894;5510;30,0
29211534;5508;9,1
29188736;5509;30,0
29188766;5509;5,7
29188766;5505;16,5
29188766;5507;3,2
29188838;5508;51,0
29188838;5505;14,0
29185712;5508;57,3
29185712;5505;17,8
29211959;5509;10,8
29211732;5508;16,1
29189989;5507;17,2
29189989;5508;57,5
29189989;5509;6,0
29194051;5508;4,0
29194051;5509;2,5
29194101;5509;10,0
29194101;5508;72,0
29193731;5509;6,0
29193731;5508;6,2
29193731;5505;35,9
29193756;5508;5,5
29189815;5509;4,4
29183908;5509;12,6
29183908;5505;38,2
29195913;5505;28,0
29195913;5508;36,0
29196527;5509;20,0
29196527;5507;15,0
29194520;5508;21,1
29194520;5509;21,2
29211835;5505;20,8
29211835;5509;20,0
29211835;5508;63,7
29203147;5505;15,0
29203147;5509;9,0
29203147;5508;3,4
29202893;5509;9,0
29202893;5508;8,0
29211959;5508;28,5
29212462;5518;9,1
29184273;5518;50,1
31544247;5509;7,8
31208254;5510;5,4
31208254;5508;13,1
31200265;5518;47,0
29196139;5508;20,0
29196139;5509;13,1
30196107;5518;6,0
29212126;5508;73,8
29212126;5509;22,7
32430816;5516;280,0
29201630;5518;59,9
29212602;5509;24,2
29195910;5508;19,1
29194885;5505;27,5
29194885;5509;8,2
29194885;5508;57,3
29194906;5508;9,0
29194281;5509;11,0
29188040;5509;20,1
29188040;5508;23,9
29186299;5505;20,0
29186343;5505;24,0
29186343;5507;10,0
29186343;5508;14,0
29196324;5509;5,0
29196324;5505;17,6
29195228;5509;9,3
29195228;5508;130,0
29202211;5508;39,0
29202281;5508;17,9
29202281;5509;17,5
29212015;5507;12,7
29212015;5509;87,5
29212015;5508;163,2
29202598;5505;42,3
29202598;5509;29,3
29202598;5508;81,8
29195566;5507;6,0
29195566;5508;40,4
29195566;5509;13,0
29202569;5509;32,6
29201637;5509;3,4
31544249;5518;2,4
29201636;5509;3,4
29200960;5509;24,0
29200960;5508;34,6
29200960;5505;24,0
29193641;5509;14,0
29193641;5505;12,0
29193641;5508;32,2
29200621;5508;21,2
29211598;5508;25,9
29184569;5509;25,8
29202569;5505;21,3
