FID;ENOTA;PT_MID;PT_ID;PT_UIME;POV_KM2;D_OD;DV_OD;STATUS;Y_C;X_C
64;PT;21429031;5263;Dobravlje;29,1000004;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;409010;83490
65;PT;21429040;3204;Dobrna;33,9799995;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;518020;132690
66;PT;21429058;8211;Dobrni;42,5099983;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;498530;82670
67;PT;21429066;1356;Dobrova;33,4199982;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;455060;101180
68;PT;21429082;5212;Dobrovo v Brdih;46,0699997;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;386480;96020
69;PT;21429104;1431;Dol pri Hrastniku;28,6399994;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;511200;107960
70;PT;21429112;1262;Dol pri Ljubljani;37,1899986;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;472820;104920
71;PT;21429139;1273;Dole pri Litiji;42,6500015;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;499910;100500
72;PT;21429147;1331;Dolenja vas;69,5699997;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;475930;58570
73;PT;21429155;8350;Dolenjske Toplice;93,9499969;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;504910;67810
74;PT;21429163;1230;Domeale;30,0200005;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;469600;111380
75;PT;21429171;2252;Dornava;14,0299997;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;573285;143315
76;PT;21429180;5294;Dornberk;11,4099998;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;402500;83600
77;PT;21429198;1319;Draga;53,5400009;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;471780;56340
78;PT;21429201;8343;Dragatuk;55,8899994;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;512320;44250
79;PT;21429210;3222;Dramlje;28,4400005;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;528750;127380
80;PT;21429228;2370;Dravograd;53,9399986;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;502510;160980
81;PT;21429236;4203;Duplje;8,6899996;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;445570;127580
82;PT;21429244;6221;Dutovlje;56,6699982;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;411100;68240
83;PT;21429252;8361;Dvor;67,7500000;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;497080;75490
84;PT;21429279;2343;Fala;14,8599997;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;535050;156270
85;PT;21429287;9208;Fokovci;22,9599991;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;596025;173400
86;PT;21429295;2313;Fram;24,1399994;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;549070;144360
87;PT;21429309;3213;Frankolovo;25,5499992;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;529520;131150
88;PT;21429317;1274;Gabrovka;42,4199982;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;498530;96880
89;PT;21429325;8254;Globoko;19,2700005;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;548920;92890
90;PT;21429333;5275;Godovio;22,5100002;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;431070;90860
91;PT;21429341;4204;Golnik;32,5699997;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;450060;127710
92;PT;21429350;3303;Gomilsko;10,8400002;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;504530;124270
93;PT;21429368;4224;Gorenja vas;92,7699966;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;434280;107320
94;PT;21429376;3263;Gorica pri Slivnici;22,5400009;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;532900;116250
95;PT;21429384;2272;Goricnica;29,1800003;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;576999;143916
96;PT;21429392;9250;Gornja Radgona;41,1800003;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;576310;170620
97;PT;21429414;4282;Gozd Martuljek;57,8499985;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;410250;149820
98;PT;21429422;6272;GradiMae;74,7300034;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;414400;39230
99;PT;21429449;9264;Grad;37,0999985;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;584210;184340
100;PT;21429457;8332;Gradac;40,9199982;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;519070;52630
101;PT;21429465;1384;Grahovo;43,8100014;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;459100;68550
102;PT;21429473;5242;Grahovo ob Baki;37,4000015;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;412670;113100
103;PT;21429481;5251;Grgar;62,4900017;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;399450;93850
104;PT;21429503;3302;Griae;21,6700001;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;514024;118664
105;PT;21429511;3231;Grobelno;20,3600006;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;534943;117100
106;PT;21429520;1290;Grosuplje;101,3000031;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;473720;90160
107;PT;21429538;2288;Hajdina;21,9300003;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;564552;137932
108;PT;21429546;8362;Hinje;48,1800003;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;491970;73050
109;PT;21429554;2311;Ho;19,6100006;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;550040;150820
110;PT;21429589;1354;Horjul;49,2400017;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;441200;100110
111;PT;21429597;1372;Hotedr;35,6500015;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;435331;85001
112;PT;21429619;1430;Hrastnik;28,6100006;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;507020;111530
113;PT;21429627;6225;Hrusevje;43,7500000;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;429490;71800
114;PT;21429643;4276;Hrusica;9,7399998;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;424491;145661
115;PT;21429651;5280;Idrija;129,3999939;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;424630;95700
116;PT;21429660;1292;Ig;99,1999969;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;463770;90860
117;PT;21429678;6250;Ilirska Bistrica;226,7500000;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;442040;47340
118;PT;21429686;1295;Ivansna Gorica;61,0800018;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;485090;88150
119;PT;21429694;2259;Ivanjkovci;29,8199997;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;591470;149620
120;PT;21431109;1316;Ortnek;28,1000004;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;472000;70830
121;PT;21431117;1337;Osilnica;36,2200012;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;476800;42780
122;PT;21431125;8222;Otolec;23,6200008;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;514270;79230
123;PT;21431133;2361;OTbalt;29,4500008;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;527810;161430
124;PT;21431141;2231;Pernica;23,0100002;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;558980;159370
125;PT;21431150;2211;Pesnica pri Mariboru;21,9699993;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;550080;163310
126;PT;21431168;9203;Petrovci;49,1300011;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;593270;185280
127;PT;21431176;3301;Petrovce;28,6200008;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;516070;125130
128;PT;21431184;6330;Piran - Pirano;1,0700001;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;388690;43700
129;PT;21431192;8255;Pi;21,3299999;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;548030;95680
130;PT;21431206;6257;Pivka;171,9100037;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;437770;59890
131;PT;21431214;6232;Planina;38,1500015;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;441720;75590
132;PT;21431222;3225;Planina pri Sevnici;42,6300011;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;534300;109320
133;PT;21431249;6276;Pobegi;10,0100002;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;406200;44670
134;PT;21431257;8312;Podboije;34,4099998;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;540200;79150
135;PT;21431265;5243;Podbrdo;45,2200012;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;418060;117600
136;PT;21431273;3254;Podbetrtek;30,8099995;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;543640;107975
137;PT;21431281;2273;Podgorci;18,1399994;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;582030;143130
138;PT;21431290;6216;Podgorje;20,4899998;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;418046;40661
139;PT;21431303;2381;Podgorje pri Slovenj Gradcu;65,4300003;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;510930;143970
140;PT;21431311;6244;Podgrad;52,4799995;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;438650;42670
141;PT;21431320;1414;Podkum;27,3400002;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;504570;101340
142;PT;21431338;2286;Podlehnik;44,2099991;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;568030;132820
143;PT;21431346;5272;Podnanos;33,5900002;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;424430;69140
144;PT;21431354;4244;Podnart;22,2700005;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;443490;127940
145;PT;21431362;3241;Podplat;35,2299995;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;547600;125750
146;PT;21431389;3257;Podsreda;29,1000004;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;545190;96690
147;PT;21431397;2363;Podvelka;65,6699982;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;525560;160310
148;PT;21431419;2208;Pohorje;25,8400002;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;544985;152740
149;PT;21431427;2257;Polenjak;19,2600002;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;577160;144210
150;PT;21431435;1355;Polhov Gradec;66,3499985;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;452150;103380
151;PT;21431451;4223;Poljane nad ckofjo Loko;51,3400002;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;434060;109510
152;PT;21431460;2319;Poljaane;35,2700005;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;548340;129490
153;PT;21431478;1272;Poljnik;40,5999985;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;494360;102350
154;PT;21431486;3313;Polzela;33,2200012;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;506070;126310
155;PT;21431494;3232;Ponikva;34,0099983;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;534210;121120
156;PT;21431508;6320;Portoro;14,0200005;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;392893;42924
157;PT;21431516;6230;Postojna;137,6000061;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;439220;70480
158;PT;21431524;2331;Pragersko;35,8400002;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;554002;140358
159;PT;21431532;3312;Prebold;39,2000008;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;507142;123748
160;PT;21431559;4205;Preddvor;93,8899994;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;451700;127370
161;PT;21431567;6255;Prem;38,8100014;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;436970;50310
162;PT;21431591;1352;Preserje;62,6300011;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;455230;92590
163;PT;21431605;6258;Prestranek;50,3699989;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;437870;65140
164;PT;21431613;2391;Prevalje;64,4499969;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;489861;155815
165;PT;21431621;3262;Prevorje;13,1599998;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;539786;109779
166;PT;21431630;3253;Pristava pri Mestinju;29,7399998;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;546510;114710
167;PT;21431656;5297;Prvatina;4,5799999;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;399850;84480
168;PT;21431664;2250;Ptuj;63,5600014;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;567258;146010
169;PT;21431672;2323;Ptujska gora;30,8700008;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;558126;135424
170;PT;21431699;9201;Puconci;38,8800011;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;585674;174295
171;PT;21431729;2327;Ra;29,2600002;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;552700;145650
172;PT;21431737;1433;Rade;52,2400017;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;517000;97880
173;PT;21431745;9252;Radenci;32,7599983;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;580060;167230
174;PT;21431753;2360;Radlje ob Dravi;39,4199982;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;514850;165950
175;PT;21431761;1235;Radomlje;24,8899994;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;470130;113520
176;PT;21431770;4240;Radovljica;18,7900009;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;436640;133490
177;PT;21431788;8274;Raka;39,5099983;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;531830;87570
178;PT;21429708;1411;Izlake;37,6300011;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;496070;112360
179;PT;21429724;2222;Jakobski dol;23,7299995;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;556800;164050
180;PT;21429732;2221;Jarenina;16,2199993;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;554010;164090
181;PT;21429759;6254;Jeleane;35,6500015;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;439490;41510
182;PT;21429767;4270;Jesenice;54,2999992;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;428150;144040
183;PT;21429775;8261;Jesenice na Dolenjskem;27,0699997;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;549660;79070
184;PT;21429783;3273;Jurklocter;38,7900009;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;522200;105250
185;PT;21429791;2223;Jurovski Dol;29,9699993;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;560400;160670
186;PT;24034658;9246;Razkrikje;9,8800001;19. 11. 2010 00:00:00;19. 11. 2010 00:00:00;V;598200;153690
187;PT;21429813;2256;Jurkinci;34,8199997;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;574920;149490
188;PT;21429821;5214;Kal nad Kanalom;26,7700005;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;400120;106100
189;PT;21429830;3233;Kalobje;9,8000002;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;531390;114150
190;PT;21429848;4246;Kamna Gorica;23,7299995;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;439750;130400
191;PT;21429856;2351;Kamnica;18,5499992;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;549390;162850
192;PT;21429864;1241;Kamnik;59,9099998;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;466640;122530
193;PT;21429872;5213;Kanal;55,3400002;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;394790;105770
194;PT;21429899;8258;Kapele;18,4200001;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;552370;90300
195;PT;21429902;2362;Kapla;31,3199997;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;531170;164150
196;PT;21429929;2325;Kidri;18,8199997;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;561748;140526
197;PT;21429937;1412;Kisovec;6,5500002;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;498190;111670
198;PT;21429945;6253;Kneoak;112,0000000;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;440170;51630
199;PT;21429953;5222;Kobarid;140,3300018;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;390720;123460
200;PT;21429961;9227;Kobilje;19,7299995;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;607100;172030
201;PT;21429970;1330;Ko;253,5500031;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;489410;55420
202;PT;21429988;1338;Ko;153,5800018;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;490510;47450
203;PT;21429996;2276;Kog;13,9499998;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;596600;144390
204;PT;21430005;5211;Kojsko;25,9099998;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;388550;96730
205;PT;21430013;6223;Komen;73,2699966;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;403290;75390
206;PT;21430021;1218;Komenda;24,0499992;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;464800;118230
207;PT;21430030;6000;Koper - Capodistria;37,4000015;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;401160;45480
208;PT;21430048;8282;Koprivnica;20,5799999;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;539910;98510
209;PT;21430064;5296;Kostanjevica na Krasu;41,1699982;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;392310;78370
210;PT;21430072;6256;Ko;38,5699997;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;434500;57500
211;PT;21430099;2394;Kotlje;19,4599991;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;498930;153820
212;PT;21430102;6240;Kozina;71,3600006;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;418290;51520
213;PT;21430129;3260;Kozje;22,7299995;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;544060;103130
214;PT;21430137;4000;Kranj;59,6500015;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;450690;122370
215;PT;21430145;4280;Kranjska Gora;60,7299995;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;407250;149750
216;PT;21430153;1281;Kresnice;31,9599991;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;485360;106410
217;PT;21430161;4294;Krise;12,0200005;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;445650;132190
218;PT;21430170;9206;Krisevci;42,1800003;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;595760;184010
219;PT;21430188;9242;Krisevci pri Ljutomeru;48,3600006;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;590200;157800
