FID;ENOTA;HS_MID;HS;HD;LABELA;UL_MID;NA_MID;OB_MID;PT_MID;PO_MID;D_OD;DV_OD;STATUS;Y_C;X_C
85709;HS;19135101;61;B;61B;16275735;10092868;11026826;21432237;10252911;2013-06-17;2013-06-17;V;575140;165466
85717;HS;11615961;10;;10;16276065;10093198;11026826;21429392;10256836;2014-01-16;2014-01-16;V;576387;167079
85843;HS;11607314;42;A;42A;16275905;10093031;11026826;21429392;10253306;2014-09-30;2014-09-30;V;572734;169872
85844;HS;11607179;32;A;32A;16275905;10093031;11026826;21429392;10253306;2014-09-30;2014-09-30;V;572876;169967
85885;HS;19135411;13;B;13B;16276464;10093619;11026826;21429392;10252784;2013-12-03;2013-12-03;V;575128;167145
85971;HS;19135080;27;B;27B;16276073;10093201;11026826;21429392;10252806;2013-06-05;2013-06-05;V;575795;167587
86143;HS;11606989;16;;16;16275905;10093031;11026826;21429392;10253306;2014-03-18;2014-03-18;V;573125;170200
86627;HS;11605460;29;B;29B;16275875;10093007;11026826;21429392;10252954;2013-11-22;2013-11-22;V;573477;166929
86953;HS;19135276;21;A;21A;16276146;10093287;11026826;21429392;10253012;2013-09-27;2013-09-27;V;575021;170033
86968;HS;19135667;200;A;200A;16275565;10092698;11026826;21429392;10252849;2014-02-03;2014-02-03;V;575106;168539
87126;HS;19135969;47;A;47A;16275662;10092817;11026826;21429392;10252717;2014-03-18;2014-03-18;V;574414;170733
87129;HS;19135993;95;A;95A;16276146;10093287;11026826;21429392;10252946;2014-03-28;2014-03-28;V;573985;169356
87191;HS;11643396;3;A;3A;16276464;10093619;11026826;21429392;10252784;2009-05-06;2009-05-06;V;575392;168006
87862;HS;19135748;36;B;36B;16275662;10092817;11026826;21429392;10252725;2014-02-18;2014-02-18;V;574411;170393
87960;HS;19136906;1;A;1A;16276286;10093414;11026826;21428353;19127419;2015-09-11;2015-09-11;V;568558;169017
88702;HS;19135802;104;A;104A;16276146;10093287;11026826;21429392;10252580;2014-02-19;2014-02-19;V;573351;169023
89050;HS;11613063;103;;103;16276006;10093147;11026826;21432237;10255210;2016-06-02;2016-06-02;V;570402;163789
89051;HS;11613195;115;;115;16276006;10093147;11026826;21432237;10255210;2016-06-02;2016-06-02;V;570712;163844
89052;HS;11613225;118;;118;16276006;10093147;11026826;21432237;10255210;2016-06-02;2016-06-02;V;570232;164069
89053;HS;11613268;122;;122;16276006;10093147;11026826;21432237;10255210;2016-06-02;2016-06-02;V;570022;164053
89054;HS;11613276;123;;123;16276006;10093147;11026826;21432237;10255210;2016-06-02;2016-06-02;V;570038;164063
89055;HS;11613306;126;;126;16276006;10093147;11026826;21432237;10255210;2016-06-02;2016-06-02;V;570032;164331
89056;HS;11613373;6;;6;16276014;10093155;11026826;21429392;10252695;2016-06-02;2016-06-02;V;576020;169731
89057;HS;11614159;9;A;9A;16276049;10093171;11026826;21432237;10259371;2016-06-02;2016-06-02;V;576919;162519
89058;HS;11614183;10;;10;16276049;10093171;11026826;21432237;10259371;2016-06-02;2016-06-02;V;577074;162609
89059;HS;11614272;17;;17;16276049;10093171;11026826;21432237;10259371;2016-06-02;2016-06-02;V;577484;162839
89060;HS;11614299;18;;18;16276049;10093171;11026826;21432237;10259371;2016-06-02;2016-06-02;V;577474;162757
89061;HS;11614361;24;;24;16276049;10093171;11026826;21432237;10259371;2016-06-02;2016-06-02;V;577779;162468
89062;HS;11614434;31;;31;16276049;10093171;11026826;21432237;10259371;2016-06-02;2016-06-02;V;577612;162869
89085;HS;11598927;19;;19;16275735;10092868;11026826;21432237;10252776;2016-02-12;2016-02-12;V;574431;164883
89086;HS;11598919;18;;18;16275735;10092868;11026826;21432237;10252776;2016-02-12;2016-02-12;V;574446;164919
89172;HS;11614507;37;;37;16276049;10093171;11026826;21432237;10259371;2016-06-02;2016-06-02;V;577729;163193
89173;HS;11614698;49;;49;16276049;10093171;11026826;21432237;10259371;2016-06-02;2016-06-02;V;577729;163680
89183;HS;11616054;2;;2;16276073;10093201;11026826;21429392;10252806;2016-06-02;2016-06-02;V;575985;166786
89184;HS;11616127;7;;7;16276073;10093201;11026826;21429392;10252806;2016-06-02;2016-06-02;V;575456;166633
89185;HS;11616143;9;A;9A;16276073;10093201;11026826;21429392;10252806;2016-06-02;2016-06-02;V;575297;166357
89186;HS;11616321;25;;25;16276073;10093201;11026826;21429392;10252806;2016-06-02;2016-06-02;V;575729;167561
